Month,Short,Medium,Long,Ultra-Long
 Jan-2010,3.02487045,4.0628537,4.42642115,4.2901188
 Feb-2010,2.9247165,4.09279115,4.52623495,4.412768
 Mar-2010,2.78910987,4.015507,4.585614957,4.491798696
 Apr-2010,2.7465395,4.05812725,4.57120105,4.4788826
 May-2010,2.398508053,3.712070158,4.352880421,4.306277211
 Jun-2010,2.190925455,3.484497045,4.264132818,4.233713182
 Jul-2010,2.083248136,3.372406091,4.219205227,4.177693455
 Aug-2010,1.81111919,3.076848571,4.066869524,4.043761095
 Sep-2010,1.711874364,3.020178727,4.021294182,4.013375818
 Oct-2010,1.563630429,2.957902095,4.034023714,4.044889952
 Nov-2010,1.764227364,3.194823409,4.227840818,4.212504091
 Dec-2010,2.062607762,3.498434524,4.343797095,4.27960519
 Jan-2011,2.60997895,3.71877055,4.44004365,4.34315065
 Feb-2011,2.8116588,3.858485,4.4816126,4.37239525
 Mar-2011,2.56067887,3.632838565,4.340346435,4.249025957
 Apr-2011,2.566436833,3.652954167,4.325993111,4.223328667
 May-2011,2.226412,3.35894535,4.1830532,4.1064276
 Jun-2011,1.992848773,3.243232773,4.171340273,4.111162091
 Jul-2011,1.829458524,3.123919524,4.156786333,4.097386571
 Aug-2011,1.348148591,2.552373909,3.871816773,3.834876773
 Sep-2011,1.216595455,2.480865727,3.637958818,3.670465682
 Oct-2011,1.526338857,2.492026571,3.433595571,3.474358095
 Nov-2011,1.2694915,2.233874409,3.184151636,3.152906818
 Dec-2011,1.0925555,2.11939605,3.1508976,3.14704995
 Jan-2012,1.049561381,2.105040571,3.06811719,3.086858619
 Feb-2012,1.028237857,2.200887571,3.265019476,3.262737905
 Mar-2012,1.087549682,2.250545227,3.327816682,3.309820545
 Apr-2012,1.022979474,2.120429842,3.309434368,3.325479789
 May-2012,0.863618,1.866786955,3.160956727,3.230043136
 Jun-2012,0.724144158,1.684241368,3.019799105,3.117340632
 Jul-2012,0.572338045,1.548251455,2.943701364,3.075144636
 Aug-2012,0.551984682,1.567682773,2.969633818,3.101732227
 Sep-2012,0.7472384,1.7698974,3.085071,3.1966045
 Oct-2012,0.76949287,1.803632217,3.121354652,3.217156391
 Nov-2012,0.787356182,1.791000136,3.074409227,3.168160909
 Dec-2012,0.841113579,1.837790526,3.132440263,3.244997316
 Jan-2013,0.978401773,2.049705273,3.277433818,3.370203818
 Feb-2013,0.9119416,2.10942175,3.3655661,3.463982
 Mar-2013,0.79253315,1.89886625,3.2273919,3.33417655
 Apr-2013,0.670555524,1.702461238,3.024184952,3.125723
 May-2013,0.806436048,1.860416571,3.160807238,3.266833857
 Jun-2013,1.2854484,2.20948105,3.4562225,3.45402725
 Jul-2013,1.297914174,2.353933261,3.551915565,3.509263217
 Aug-2013,1.507682571,2.581165476,3.61834381,3.556472143
 Sep-2013,1.667619571,2.887043476,3.657900095,3.593369714
 Oct-2013,1.515218304,2.686413348,3.515526522,3.456051478
