date,high,low,open,close,volume,quoteVolume,weightedAverage
2016-01-02,438.13,430.5,434.98,436.94,2.1799812,944.85328936,433.42267784
2016-01-03,435.61,426.45,432.31,428.14,1.59634895,683.91847,428.42667325
2016-01-04,435.99,427.29,427.29,432.0,1.67342763,724.97600445,433.22817877
2016-01-05,435.99,429.56,430.14,430.37,0.99253002,427.64728309,430.86584231
2016-01-06,434.99,427.29,430.17,427.5,1.90335797,819.34482713,430.47332138
2016-01-07,458.89,427.5,427.5,458.89,24.01355979,10706.24231174,445.84153309
2016-01-08,468.0,446.99,451.1,453.05,12.93045198,5912.94840652,457.28860952
2016-01-09,457.39,447.0,453.05,447.42,4.18158121,1879.48546964,449.46764758
2016-01-10,453.02,440.02,447.42,450.72,20.46199501,9116.86086338,445.55092789
2016-01-11,455.66,444.89,448.77,447.0,16.13130083,7224.81225238,447.87536532
2016-01-12,448.62,434.07,448.08,434.49,16.94157502,7525.82848928,444.2224811
2016-01-13,439.69,424.0,433.49,433.68,21.08651871,9072.75886437,430.2634773
2016-01-14,434.99,424.0,428.53,429.49,5.27221683,2267.46968672,430.07898951
2016-01-15,429.49,358.0,428.88,362.0,69.04527551,27192.75979869,393.83954365
2016-01-16,387.99,333.6,357.0,386.46,53.71812172,19523.98472643,363.45248309
2016-01-17,394.1,369.71,386.46,370.0,36.26175886,13842.4998052,381.73823444
2016-01-18,399.94,367.11,371.44,388.0,57.57306112,22196.01999022,385.52787637
2016-01-19,395.0,376.73,393.89,378.5,22.66875144,8779.08855613,387.27711049
2016-01-20,422.88,377.42,379.5,422.88,38.05770367,15387.14149928,404.31082318
2016-01-21,420.42,401.43,418.0,406.0,16.43429452,6751.03616056,410.78953236
2016-01-22,413.26,375.0,405.0,380.97,17.39397088,6756.02213209,388.41171913
2016-01-23,404.36,378.02,378.02,389.94,34.25231086,13328.05830136,389.11413468
2016-01-24,407.91,378.8,385.0,402.85,26.78341595,10516.92480948,392.66555203
2016-01-25,406.8,384.9,404.82,391.17,45.79431393,18108.31186502,395.42708059
2016-01-26,399.65,384.9,390.26,395.11,39.99480993,15647.27354435,391.23260172
2016-01-27,401.17,384.33,387.79,396.0,33.01060657,12979.7346639,393.1989143
2016-01-28,391.19,374.68,391.19,378.0,29.05393899,11050.97176019,380.36053438
2016-01-29,381.0,357.59,376.98,376.86,34.81245568,12980.18192613,372.86027867
2016-01-30,380.5,371.2,378.94,378.66,4.72278541,1781.19602242,377.14947171
2016-01-31,380.5,362.6,380.22,367.33,22.4369113,8407.72255208,374.72727148
2016-02-01,380.09,360.5,367.33,370.45,36.38603875,13509.41891094,371.28028702
2016-02-02,377.77,368.67,376.09,368.69,15.0157779,5604.44787387,373.2372649
2016-02-03,373.0,351.88,368.81,358.52,24.72730712,9004.93684017,364.16973334
2016-02-04,389.59,358.51,360.0,389.59,45.73942499,17028.530682,372.29437592
2016-02-05,397.97,380.35,385.77,385.98,57.96301395,22708.10009319,391.76879436
2016-02-06,388.18,371.0,388.18,377.63,41.10831006,15583.53414189,379.08476702
2016-02-07,381.67,368.99,376.96,372.99,42.41345192,15932.59275596,375.64951765
2016-02-08,379.0,369.09,372.99,369.65,17.38359135,6479.48321648,372.7355922
2016-02-09,380.49,369.65,373.21,376.71,55.2633927,20723.32240604,374.99185977
2016-02-10,385.0,364.1,376.98,382.97,100.09405847,37846.45175219,378.1088741
2016-02-11,388.25,371.0,382.98,387.95,56.58276553,21454.516881,379.17052445
2016-02-12,415.01,320.0,378.34,385.0,151.41985003,56849.66494514,375.44393904
2016-02-13,397.99,380.31,384.31,391.98,115.17376689,44799.38904767,388.97216143
2016-02-14,406.0,390.01,391.98,404.88,74.45059742,29671.13864735,398.53459442
2016-02-15,408.7,397.59,398.0,403.84,101.64696854,40996.12487407,403.31871636
2016-02-16,412.79,399.0,399.0,408.0,64.29109315,26228.93154111,407.97146627
2016-02-17,426.0,399.55,411.49,413.5,117.91827392,48770.63843345,413.59694992
2016-02-18,424.76,411.0,413.5,418.1,83.30538084,34912.88661748,419.09521648
2016-02-19,424.8,413.0,420.0,417.0,34.85415445,14617.06581747,419.37800667
2016-02-20,440.0,416.0,416.0,436.51,87.98980171,37972.04766773,431.55055392
2016-02-21,445.0,420.48,436.99,441.0,81.97225587,35817.96966889,436.95234794
2016-02-22,441.0,429.17,441.0,440.0,54.19509622,23594.55422733,435.3632685
2016-02-23,440.0,413.42,440.0,416.1,141.62216213,60429.45297098,426.69489056
2016-02-24,425.09,405.99,416.1,409.45,94.03714592,39025.54904354,415.00141951
2016-02-25,425.7,384.02,409.45,422.99,190.54795475,77657.33776091,407.54747466
2016-02-26,432.48,411.88,420.0,432.48,87.40090521,37088.59457624,424.35023398
2016-02-27,434.99,421.0,429.0,425.52,44.24819954,18908.51511429,427.32846332
2016-02-28,439.44,380.99,430.0,432.84,172.11082647,71879.58639651,417.63547285
2016-02-29,441.3,431.55,431.55,436.1,68.95950651,30212.28504225,438.1163174
2016-03-01,442.89,424.73,440.0,434.0,123.50955755,53433.06313699,432.62290139
2016-03-02,438.99,422.13,432.37,425.98,83.08450474,35872.40546759,431.75807065
2016-03-03,433.89,408.08,423.5,417.24,193.59632347,81434.40448315,420.64024266
2016-03-04,437.49,393.33,422.49,408.14,192.1003058,79482.19429671,413.7536063
2016-03-05,410.0,378.88,400.4,392.0,331.59550797,129675.78057729,391.06615578
2016-03-06,433.0,378.99,391.99,407.0,294.66863098,119132.11979732,404.2918291
2016-03-07,420.02,401.7,407.0,409.9,152.98033287,62823.92444519,410.66667372
