date,high,low,open,close,volume,quoteVolume,weightedAverage
2016-01-02,0.95,0.95,0.95,0.95,5.60398298,5.36300989,0.95699967
2016-01-03,0.97,0.95,0.95,0.96,482.03649086,465.89187347,0.96650747
2016-01-04,0.96,0.93,0.96,0.96,132.45174344,126.21402285,0.95290571
2016-01-05,0.95,0.93,0.93,0.93,219.9476316,206.68028162,0.9396795
2016-01-06,0.93,0.93,0.93,0.93,71.86524765,67.44597819,0.93850616
2016-01-07,0.96,0.93,0.95,0.96,458.34507367,441.11195459,0.96240143
2016-01-08,1.01,0.94,0.95,1.01,344.62353653,339.58428729,0.98537752
2016-01-09,1.0,0.96,0.99,0.97,145.54452337,144.96223191,0.99599922
2016-01-10,1.0,0.97,0.97,0.97,307.94172381,305.19716281,0.9910874
2016-01-11,1.07,0.99,0.99,1.05,2356.55960141,2428.34966016,1.03046392
2016-01-12,1.27,1.05,1.05,1.14,2566.95247389,3039.51295677,1.18409397
2016-01-13,1.12,1.07,1.1,1.09,466.06787603,508.0874258,1.09015757
2016-01-14,1.15,1.1,1.1,1.15,53.46804146,60.97778752,1.14045298
2016-01-15,1.34,1.12,1.13,1.2,607.98920426,774.47403238,1.27382859
2016-01-16,1.28,1.07,1.16,1.22,1563.20252624,1719.15418994,1.0997642
2016-01-17,1.32,1.19,1.19,1.32,705.95767593,885.95611262,1.25497057
2016-01-18,1.6,1.26,1.32,1.39,7648.36881018,10802.5711888,1.41240197
2016-01-19,1.44,1.3,1.37,1.4,572.69471092,779.78611928,1.36160873
2016-01-20,1.66,1.34,1.4,1.5,949.81203428,1470.27396056,1.54796307
2016-01-21,1.58,1.35,1.56,1.54,3292.48167053,4606.3284797,1.39904453
2016-01-22,1.61,1.45,1.54,1.51,600.60932323,932.21270463,1.55211161
2016-01-23,2.12,1.45,1.45,2.03,4077.22240361,7407.68809085,1.8168467
2016-01-24,2.32,1.75,1.93,2.13,2750.57092487,5696.96710763,2.0711944
2016-01-25,2.81,2.05,2.07,2.46,6889.49670014,16336.20084248,2.37117478
2016-01-26,2.85,1.75,2.54,2.27,4904.84598401,11552.23351888,2.35526937
2016-01-27,2.53,2.18,2.24,2.42,2116.37383198,5109.58508907,2.41431122
2016-01-28,2.65,2.2,2.32,2.58,1158.21714111,2792.58512305,2.41110671
2016-01-29,2.8,2.29,2.5,2.5,2364.4333785,6058.43627259,2.56232056
2016-01-30,2.58,2.38,2.52,2.49,144.43761994,362.85354671,2.5121817
2016-01-31,2.57,2.18,2.5,2.37,406.60992262,935.04506007,2.299612
2016-02-01,2.38,2.11,2.33,2.11,2097.52988875,4659.60644519,2.2214732
2016-02-02,2.48,2.11,2.24,2.19,652.26358929,1487.90674247,2.28114333
2016-02-03,2.48,2.11,2.33,2.4,5609.71545575,12606.96176395,2.24734424
2016-02-04,2.58,2.39,2.42,2.47,5131.37343167,12655.43837591,2.46628676
2016-02-05,2.59,2.42,2.57,2.5,2773.79693165,7138.29634743,2.57347474
2016-02-06,2.59,2.42,2.59,2.43,48.47094529,119.85876164,2.47279604
2016-02-07,3.12,2.44,2.57,2.86,1699.90863221,4696.23924825,2.76264215
2016-02-08,3.38,2.89,2.98,3.1,1043.32039314,3192.55379474,3.05999366
2016-02-09,4.1,3.05,3.12,4.1,2972.60830151,10744.86568257,3.61462547
2016-02-10,4.88,3.2,4.1,4.33,10435.46978103,43527.21250265,4.17108318
2016-02-11,6.99,4.23,4.33,6.5,2849.14486956,15532.04714324,5.45147679
2016-02-12,6.99,3.85,6.0,5.65,17108.78909791,90844.45277007,5.30981194
2016-02-13,5.67,4.13,5.65,5.5,5725.00397471,27341.79651272,4.77585633
2016-02-14,5.5,4.42,5.49,5.19,2371.26758813,11599.61130043,4.89173442
2016-02-15,5.88,5.0,5.25,5.29,3599.83818258,19534.92269804,5.42661133
2016-02-16,5.48,3.99,5.09,4.24,4322.64047112,20495.55817239,4.7414441
2016-02-17,4.74,3.46,4.38,3.62,4417.71032854,17959.9959851,4.06545351
2016-02-18,4.97,3.36,3.79,4.23,2275.69133638,9372.37311141,4.1184729
2016-02-19,4.81,4.0,4.41,4.68,2184.44217445,9900.43129051,4.5322469
2016-02-20,4.68,4.11,4.68,4.38,714.90001701,3063.83739436,4.28568655
2016-02-21,4.79,4.23,4.35,4.63,864.77210619,3878.57266468,4.48508067
2016-02-22,5.7,4.55,4.63,5.69,3113.96734826,16133.88047837,5.18113347
2016-02-23,6.0,5.3,5.7,5.5,5442.09135947,30995.99475228,5.69560352
2016-02-24,6.0,5.42,5.5,6.0,5629.65540728,33040.6122267,5.86902924
2016-02-25,6.29,5.37,6.0,6.16,18211.7158272,111064.2197886,6.09850388
2016-02-26,6.19,5.7,6.02,5.75,3049.20774414,18278.32011496,5.99444893
2016-02-27,6.45,5.82,5.82,6.34,6299.63881725,39635.43556793,6.29169968
2016-02-28,6.6,6.21,6.36,6.41,2996.00069081,19448.33191574,6.49143105
2016-02-29,6.58,6.09,6.37,6.32,2113.50116803,13349.47617837,6.31628521
2016-03-01,7.94,5.16,6.29,7.6,9873.55686362,70136.68393766,7.10348711
2016-03-02,8.82,7.3,7.65,8.55,2362.24603702,18955.42437436,8.02432264
2016-03-03,9.99,7.6,8.46,9.27,6600.45471464,60520.03930069,9.16907121
2016-03-04,10.37,8.46,9.27,10.37,4703.23236237,43812.40579262,9.31538193
2016-03-05,12.3,9.77,10.21,10.59,10693.58954454,120464.13328933,11.26507921
2016-03-06,11.8,9.79,10.59,11.34,10100.84773183,110349.97608857,10.92482324
2016-03-07,11.6,9.14,11.34,9.46,6131.35071126,60808.96889559,9.91771173
2016-03-08,10.09,8.48,9.5,9.76,5531.73645801,50442.07246034,9.11866876
2016-03-09,11.9,9.65,9.76,11.7,6388.96996748,70586.02323686,11.0481069
2016-03-10,12.2,10.69,11.69,11.25,4668.20093834,52974.52135999,11.34795225
2016-03-11,11.77,10.3,11.25,11.19,3800.82523637,42165.69099307,11.09382525
2016-03-12,13.75,11.15,11.24,13.41,9357.15019495,121604.45496887,12.99588575
2016-03-13,15.0,13.46,13.52,14.12,9158.69768627,131796.9799951,14.39036252
2016-03-14,14.98,11.39,14.13,12.05,12840.71174006,168112.10270633,13.09211717
2016-03-15,13.29,11.9,12.42,13.0,1523.24459313,19042.79977522,12.50147209
2016-03-16,13.6,12.5,12.77,12.55,999.32487548,13147.91131731,13.15679379
2016-03-17,12.7,10.5,12.69,10.85,7321.49658394,83338.95744262,11.38277625
2016-03-18,11.5,8.41,10.85,10.8,13767.25691884,132757.11399296,9.64296045
2016-03-19,11.03,9.63,10.49,10.4,2966.37321929,30614.01597618,10.32035206
2016-03-20,10.82,9.62,10.44,10.13,2645.18728971,26716.78984941,10.10015054
2016-03-21,11.99,9.99,10.13,11.7,4392.15162864,49059.6870171,11.16985276
2016-03-22,12.0,10.9,11.7,11.16,2337.38266775,26832.48910273,11.47971595
2016-03-23,12.49,11.16,11.16,12.42,1706.61545955,20409.58521266,11.95910015
2016-03-24,12.42,10.63,12.34,11.19,2978.74168738,33844.88219204,11.36214071
2016-03-25,11.36,10.27,11.19,10.64,694.68982598,7422.51404178,10.6846448
2016-03-26,11.19,10.57,10.6,10.91,1003.39037193,10726.57198014,10.69032779
2016-03-27,11.02,10.0,10.86,10.45,1687.07921832,17685.43951582,10.48287438
2016-03-28,11.88,10.33,10.33,11.56,3243.92474278,36870.89923557,11.3661389
2016-03-29,11.83,11.03,11.62,11.63,3919.42804066,45774.3575096,11.67883605
2016-03-30,12.17,11.47,11.71,11.98,1970.32281817,23394.00568862,11.87318416
2016-03-31,12.0,11.27,11.89,11.38,585.13808704,6915.99691553,11.81942701
2016-04-01,11.94,11.38,11.38,11.52,187.30735106,2184.55564918,11.66294668
2016-04-02,11.7,11.35,11.67,11.59,366.62711182,4217.40046662,11.5032422
2016-04-03,11.7,11.52,11.59,11.68,1062.28396927,12395.8292657,11.66903542
2016-04-04,11.68,11.01,11.64,11.16,1689.11245934,19115.85122448,11.31709799
2016-04-05,11.25,10.13,11.17,10.44,2102.80466154,22553.23313724,10.7253106
2016-04-06,11.02,10.27,10.35,10.69,1201.7918225,12904.98096027,10.7381168
2016-04-07,10.79,9.85,10.68,10.14,2035.59713179,20641.90199412,10.14046525
2016-04-08,10.33,9.61,10.14,9.89,2629.39696672,25808.26674444,9.81527972
2016-04-09,10.08,8.75,9.73,9.13,4852.97513584,45152.53195409,9.30409299
2016-04-10,9.22,7.28,9.12,8.87,8700.82001326,72418.01934915,8.32312577
2016-04-11,8.88,8.0,8.83,8.71,1860.95989658,15756.42342366,8.46682588
